idx;cycle;seconds;objectiveNormal;objectiveAccelerated;processorCount;blockSize
119;2;57,073784200000006;1239,1414489319009;1239,1414489319009;0;0
120;2;57,426608200000004;1239,1422517480746;1239,1422517480746;0;0
121;2;57,769289900000004;1239,1297397569278;1239,1297397569278;0;0
122;2;58,098403700000006;1239,1295859213847;1239,1295859213847;0;0
123;2;58,4620139;1239,1194522018639;1239,1194522018639;0;0
124;2;58,7870666;1239,115944579099;1239,115944579099;0;0
125;2;59,1130853;1239,10516390214;1239,10516390214;0;0
126;2;59,4134356;1239,1017003297047;1239,1017003297047;0;0
127;2;59,735718000000006;1239,094953007462;1239,094953007462;0;0
128;2;60,06176620000001;1239,085678752927;1239,085678752927;0;0
129;2;60,3718556;1239,0791855540751;1239,0791855540751;0;0
130;2;60,7245689;1239,0681895379291;1239,0681895379291;0;0
131;2;61,047018;1239,0639875433499;1239,0639875433499;0;0
132;2;61,422721100000004;1239,0559460199552;1239,0559460199552;0;0
133;2;61,7653673;1239,0510561470405;1239,0510561470405;0;0
134;2;62,1349494;1239,043425408364;1239,043425408364;0;0
135;2;62,5188739;1239,0409641040492;1239,0409641040492;0;0
136;2;62,868478700000004;1239,0360148507523;1239,0360148507523;0;0
137;2;63,218793500000004;1239,0229183143617;1239,0229183143617;0;0
138;2;63,5742467;1239,0184359476398;1239,0184359476398;0;0
139;2;63,9300239;1239,0126757413814;1239,0126757413814;0;0
140;2;64,2686199;1239,0053161927055;1239,0053161927055;0;0
141;2;64,6433915;1238,9967949374013;1238,9967949374013;0;0
142;2;65,0180249;1238,990822279327;1238,990822279327;0;0
143;2;65,36884640000001;1238,9844945513746;1238,9844945513746;0;0
144;2;65,7316205;1238,9797378125527;1238,9797378125527;0;0
145;2;66,0592989;1238,9749653084696;1238,9749653084696;0;0
146;2;66,4110241;1238,962470454025;1238,962470454025;0;0
147;2;66,7931912;1238,954123232317;1238,954123232317;0;0
148;2;67,1592115;1238,9460331142295;1238,9460331142295;0;0
149;2;67,5310846;1238,9455382215335;1238,9455382215335;0;0
150;3;68,0426801;1239,0173027909786;1239,0173027909786;0;0
151;3;68,5859036;1239,009359844139;1239,009359844139;0;0
152;3;69,1014747;1239,0061993788574;1239,0061993788574;0;0
153;3;69,6103061;1238,9994976199084;1238,9994976199084;0;0
154;3;70,1369999;1238,9926007905758;1238,9926007905758;0;0
155;3;70,674788;1238,9844375039324;1238,9844375039324;0;0
156;3;71,1889025;1238,9793032126502;1238,9793032126502;0;0
157;3;71,7048075;1238,9709662060704;1238,9709662060704;0;0
158;3;72,2356651;1238,9617384210965;1238,9617384210965;0;0
159;3;72,7641096;1238,9545567391372;1238,9545567391372;0;0
160;3;73,2958813;1238,9492566895271;1238,9492566895271;0;0
161;3;73,7955716;1238,9382313364029;1238,9382313364029;0;0
162;3;74,2761795;1238,9331474363591;1238,9331474363591;0;0
163;3;74,7681299;1238,926426722121;1238,926426722121;0;0
164;3;75,2735311;1238,921287474677;1238,921287474677;0;0
165;3;75,7865035;1238,9149070463372;1238,9149070463372;0;0
166;3;76,2712082;1238,910091764854;1238,910091764854;0;0
167;3;76,7729311;1238,9064461712537;1238,9064461712537;0;0
168;3;77,2650576;1238,8994580383442;1238,8994580383442;0;0
169;3;77,7960172;1238,8946352736807;1238,8946352736807;0;0
170;3;78,3057535;1238,8886079052818;1238,8886079052818;0;0
171;3;78,8235387;1238,8816061194045;1238,8816061194045;0;0
172;3;79,3164116;1238,8737674741697;1238,8737674741697;0;0
173;3;79,82446;1238,8623929570463;1238,8623929570463;0;0
174;3;80,3342047;1238,8583078887718;1238,8583078887718;0;0
175;3;80,8247228;1238,8507521418771;1238,8507521418771;0;0
176;3;81,3488692;1238,8444467905583;1238,8444467905583;0;0
177;3;81,8728035;1238,8383210114966;1238,8383210114966;0;0
178;3;82,35446809999999;1238,831403982272;1238,831403982272;0;0
179;3;82,8551239;1238,827555346868;1238,827555346868;0;0
180;3;83,3424222;1238,8219076979537;1238,8219076979537;0;0
181;3;83,8484174;1238,8188559605958;1238,8188559605958;0;0
182;3;84,3672332;1238,8090918986547;1238,8090918986547;0;0
183;3;84,8660277;1238,8011298201839;1238,8011298201839;0;0
184;3;85,3526888;1238,7967737431484;1238,7967737431484;0;0
185;3;85,8253208;1238,791971953688;1238,791971953688;0;0
186;3;86,30855;1238,7864552941696;1238,7864552941696;0;0
187;3;86,8044003;1238,778742444068;1238,778742444068;0;0
188;3;87,3043888;1238,7719067524486;1238,7719067524486;0;0
189;3;87,813965;1238,764616950054;1238,764616950054;0;0
190;3;88,3114946;1238,7635468212607;1238,7635468212607;0;0
191;3;88,8119503;1238,759013200001;1238,759013200001;0;0
192;3;89,3353343;1238,751485725645;1238,751485725645;0;0
193;3;89,8561516;1238,7507940645032;1238,7507940645032;0;0
194;3;90,3385526;1238,7434443347906;1238,7434443347906;0;0
195;3;90,81818319999999;1238,73952369269;1238,73952369269;0;0
196;3;91,2793124;1238,733142729684;1238,733142729684;0;0
197;3;91,79797529999999;1238,7261402080705;1238,7261402080705;0;0
198;3;92,2688534;1238,7223044860693;1238,7223044860693;0;0
199;3;92,7895402;1238,7158145615786;1238,7158145615786;0;0
