y;x;intensity
1780;1225;0,0012708092
1780;1226;0,0013417256
1780;1227;0,0013920518
1780;1228;0,0014347524
1780;1229;0,0014695734
1780;1230;0,0014835404
1780;1231;0,0015183795
1780;1232;0,0015244305
1780;1233;0,0015369501
1780;1234;0,0015483614
1780;1235;0,0015398022
1780;1236;0,0015243002
1780;1237;0,0015056507
1780;1238;0,0014827563
1780;1239;0,001429802
1780;1240;0,0013761936
1780;1241;0,0013089371
1780;1242;0,0012547969
1780;1243;0,0011666211
1780;1244;0,0010800189
1780;1245;0,0009905922
1780;1246;0,000895072
1780;1247;0,0007769467
1780;1248;0,00065314985
1780;1249;0,00051825115
1780;1250;0,00036917892
1780;1251;0,00021087754
1780;1252;4,6931636E-05
1780;1253;0
1780;1254;0
1780;1255;0
1780;1256;0
1780;1257;0
1780;1258;0
1780;1259;0
1780;1260;0
1780;1261;0
1780;1262;0
1780;1263;0
1780;1264;0
1780;1265;0
1780;1266;0
1780;1267;0
1780;1268;0
1780;1269;0
1780;1270;0
1780;1271;0
1780;1272;0
1780;1273;0
1780;1274;0
1781;1180;0
1781;1181;0
1781;1182;0
1781;1183;0
1781;1184;0
1781;1185;0
1781;1186;0
1781;1187;0
1781;1188;0
1781;1189;0
1781;1190;0
1781;1191;0
1781;1192;0
1781;1193;0
1781;1194;0
1781;1195;0
1781;1196;0
1781;1197;0
1781;1198;0
1781;1199;0
1781;1200;0
1781;1201;0
1781;1202;0
1781;1203;0
1781;1204;0
1781;1205;0
1781;1206;0
1781;1207;0
1781;1208;0
1781;1209;0
1781;1210;0
1781;1211;0
1781;1212;4,519683E-05
1781;1213;0,0001836967
1781;1214;0,00031010644
1781;1215;0,00042569079
1781;1216;0,0005487177
1781;1217;0,00065739825
1781;1218;0,0007544641
1781;1219;0,00084669044
1781;1220;0,0009299335
1781;1221;0,0010277961
1781;1222;0,0011171172
1781;1223;0,0012046009
1781;1224;0,0012914162
1781;1225;0,0013706892
1781;1226;0,0014227966
1781;1227;0,001480726
1781;1228;0,0015249723
1781;1229;0,0015657927
1781;1230;0,001584887
1781;1231;0,0016171875
1781;1232;0,0016351736
1781;1233;0,0016463556
1781;1234;0,0016383299
1781;1235;0,0016467222
1781;1236;0,0016409237
1781;1237;0,0016275629
1781;1238;0,0015965186
1781;1239;0,0015510661
1781;1240;0,0014950716
1781;1241;0,0014349645
1781;1242;0,0013725999
1781;1243;0,001300502
1781;1244;0,0012174371
1781;1245;0,0011271227
1781;1246;0,0010363099
1781;1247;0,0009241682
1781;1248;0,0008048029
1781;1249;0,0006695615
1781;1250;0,00051372644
1781;1251;0,0003690686
1781;1252;0,00018590076
1781;1253;2,9515766E-05
1781;1254;0
1781;1255;0
1781;1256;0
1781;1257;0
1781;1258;0
1781;1259;0
1781;1260;0
1781;1261;0
1781;1262;0
1781;1263;0
1781;1264;0
1781;1265;0
1781;1266;0
1781;1267;0
1781;1268;0
1781;1269;0
1781;1270;0
1781;1271;0
1781;1272;0
1781;1273;0
1781;1274;0
1782;1180;0
1782;1181;0
1782;1182;0
1782;1183;0
1782;1184;0
1782;1185;0
1782;1186;0
1782;1187;0
1782;1188;0
1782;1189;0
1782;1190;0
1782;1191;0
1782;1192;0
1782;1193;0
1782;1194;0
1782;1195;0
1782;1196;0
1782;1197;0
1782;1198;0
1782;1199;0
1782;1200;0
1782;1201;0
1782;1202;0
1782;1203;0
1782;1204;0
1782;1205;0
1782;1206;0
1782;1207;0
1782;1208;0
1782;1209;0
1782;1210;0
1782;1211;0
1782;1212;0,00013573664
1782;1213;0,00027999576
